ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.713,0,4199.5,1.495,WX11D690N70Z
0.572,0,3992.7,1.496,WX11D690NFL8
0.615,-0.002,4065.8,1.493,WX11D690NYT4
0.73,-0.003,4286.1,1.494,WX11D690NTHE
0.621,-0.001,4040.5,1.493,WX11D690NNXH
0.701,-0.004,4207.8,1.496,WX11D690NDSK
0.716,0,4243.7,1.494,WX11D690NCN9
0.621,-0.001,4062.2,1.494,WX11D690NEDH
0.581,-0.003,4019.4,1.495,WX11D690N98U
0.66,0,4148.5,1.493,WX11D690NFNT
0.672,0,4174.2,1.49,WX11D690NT5L
0.589,0,4021,1.493,WX11D690NF9H
0.658,0,4121,1.495,WX11D690NHJJ
0.637,-0.001,4067.7,1.496,WX11D690NUXD
0.66,0,4154.5,1.493,WX11D690NJPF
0.628,0,4055.7,1.496,WX11D690NZ9T
0.625,0,4058.9,1.494,WX11D690N63R
0.674,-0.003,4166.7,1.493,WX11D690NAKP
0.594,0,4021.3,1.491,WX11D690N25R
0.626,-0.001,4126.3,1.496,WX11D690NYU9
0.676,0,4142.5,1.498,WX11D690NDU0
0.622,-0.003,4100.5,1.498,WX11D690N9ZN
1.387,-0.002,4329.7,1.496,WX11D690N0FD
0.6,-0.001,4035.9,1.493,WX11D690NFDE
0.742,-0.002,4291.9,1.494,WX11D690N4H5
0.695,-0.001,4210.7,1.492,WX11D690NYCF
0.607,0,4038,1.498,WX11D690NRJT
0.678,-0.003,4160.2,1.498,WX11D690NK7X
0.762,-0.001,4317.2,1.494,WX11D690NUZJ
0.594,-0.001,3989.4,1.493,WX11D690NKXF
0.66,-0.001,4150,1.496,WX11D690NYR2
0.611,-0.002,4049.5,1.496,WX11D690NXZP
0.602,-0.004,4012.5,1.492,WX11D690N53P
0.676,-0.001,4172.3,1.499,WX11D690N5J7
0.703,-0.001,4190.5,1.493,WX11D690NVD4
0.704,0,4307.1,1.498,WX11D690N981
0.691,-0.001,4228.2,1.492,WX11D690NA1A
0.667,-0.001,4169.2,1.495,WX21D696Z18U
0.722,-0.001,4241.8,1.494,WX11D690NFFY
0.74,0,4282.2,1.493,WX11D690NU81
0.667,0,4174.7,1.492,WX11D690NC8N
0.63,-0.002,4008.7,1.496,WX11D690N38E
0.592,0,4032.2,1.496,WX11D690N1NS
0.701,0,4200.5,1.493,WX11D690NAUX
0.586,0,4007.6,1.495,WX11D690N6KA
0.588,0,4000.3,1.492,WX21D696ZN65
0.67,0,4140.8,1.492,WX11D690NCYE
0.683,0,4182.1,1.498,WX11D690N380
0.692,0,4183.3,1.493,WX11D690NCUU
0.694,0,4178.9,1.49,WX11D690NZ26
0.718,0,4281.7,1.495,WX11D690NSSF
0.643,0,4111,1.496,WX11D690NAED
0.719,-0.001,4226,1.493,WX11D690NHL4
1.305,0,4293.2,1.496,WX11D690NAD1
0.592,0,3991.1,1.494,WX11D690NTAA
0.591,-0.001,4046.4,1.492,WX11D690NCJS
0.622,-0.001,4063.5,1.495,WX11D690NXZ0
0.682,0,4241.3,1.493,WX11D690NKDA
0.621,-0.001,4085,1.491,WX11D690NTKR
0.661,0,4141.4,1.493,WX11D690NJ0S
0.59,-0.006,3979.8,1.495,WX11D690NC80
0.652,0,4136.6,1.492,WX11D690N98A
0.687,0,4210.2,1.493,WX11D690N0D9
0.692,0,4209.4,1.496,WX11D690N38D
0.682,-0.002,4193.3,1.493,WX11D690N0TK
0.76,-0.001,4313.8,1.493,WX11D690NTS2
0.613,0,4074.1,1.496,WX11D690NR70
0.771,-0.007,4330.8,1.494,WX11D690N3K8
0.669,-0.001,4159.2,1.492,WX11D690NZNV
0.718,0,4241.1,1.494,WX11D690NHA8
0.585,0,3991.4,1.498,WX11D690NECK
0.587,-0.002,3998.1,1.492,WX11D690NCLD
1.39,0,4320.8,1.492,WX11D690NA1T
0.603,0,4017.7,1.498,WX11D690NDNC
0.582,0,3987,1.495,WX11D690NL8C
0.564,0,3989.7,1.495,WX11D690NSVK
0.662,0,3229.4,1.493,WX11D690NSLD
0.666,-0.001,4117.6,1.496,WX11D690NAPS
0.714,0,4222.7,1.493,WX11D690NLCL
0.668,0,4159.3,1.494,WX11D690NESP
0.623,0,4089.7,1.495,WX11D690NVN4
0.643,0,4119.3,1.494,WX11D690NRRA
0.736,0,4294,1.493,WX11D690NCRX
0.628,0,4083.7,1.493,WX11D690NJ5R
0.643,-0.001,4085.1,1.493,WX11D690NV3A
0.631,0,4047.9,1.496,WX11D690NJC0
1.364,0,4310.1,1.498,WX11D690NJFN
0.769,-0.002,4304.6,1.493,WX11D690N61Z
0.568,-0.001,3949.3,1.493,WX11D690NP4Y
0.707,-0.004,4217.7,1.498,WX11D690NSJZ
0.741,-0.001,4263.6,1.493,WX11D690NH9S
0.626,0,4089.4,1.496,WX11D690NTSN
0.626,-0.002,4064.7,1.493,WX11D690N9J2
0,-0.004,0,0,WX11D690NK83
0.592,-0.003,3974.3,1.493,WX11D690NFRV
0.687,0,4160.1,1.491,WX11D690N25P
0.588,0,4063.3,1.498,WX11D690NXNZ
0.618,0,4096.3,1.496,WX11D690NTLR
